	V0.00e+00	V1.00e+07	V2.00e+07	V3.00e+07	V4.00e+07	V5.00e+07	V1.00e+09	V2.00e+09	V3.00e+09	V4.00e+09	V5.00e+09	V6.00e+09	V7.00e+09	V8.00e+09	V9.00e+09	V9.20e+09	V9.40e+09	V9.60e+09	V9.80e+09	V1.00e+10	V1.02e+10	V1.04e+10	V1.06e+10	V1.08e+10	V1.10e+10	V1.12e+10	V1.14e+10	V1.16e+10	V1.18e+10	V1.20e+10
0	4.654485	3.9383525000000006	4.924045	2.4034649999999997	1.179435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	4.65808	4.7140925000000005	4.1093525	3.4999249999999997	2.2266725000000003	1.7788225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
